Metric,AF_Mean,AF_Std,NonAF_Mean,NonAF_Std,P_Value,Significant
pRR_3.25,87.71066323179119,6.59099100467395,26.561677212771308,23.86964387461882,5.142025863768111e-71,True
pNN20,60.0170154553131,14.371121323366433,16.595608037405885,19.673632465551027,2.577684637433942e-40,True
NN20,51.296875,16.62535803409673,11.135135135135135,13.567492486180585,1.9381477612834833e-31,True
NN50,25.171875,9.48776101759441,7.27027027027027,9.047564857928892,8.197397858377625e-24,True
CVI,4.451299401951184,0.44181520192285323,3.1914142330782544,1.291557014239588,5.900400342217319e-21,True
HR_Mean,616.9997696511314,140.07448267899863,414.9229013849651,82.75911719081533,2.19633822995388e-17,True
RR_Min,59.5078125,24.049824635122786,102.17027027027028,55.53898362382295,2.774503787946486e-13,True
pNN50,32.90114500785869,18.724879467843138,11.167609023112213,14.036096769513625,6.112358677598676e-13,True
HR_Std,224.72863781185367,82.43371405917362,114.78463898438117,122.420045337123,1.4750436031916903e-12,True
NN100,9.625,6.771790225423618,2.175675675675676,3.525835099065023,2.1632971425254666e-12,True
peak_count,90.078125,23.9372888941746,64.45945945945945,10.136737508926423,4.8295245725482015e-12,True
CSI,1.046655941729448,0.1906611238100325,1.322820047719563,0.41727317441042194,3.0990122223029125e-10,True
RMSSD,67.23347711730416,51.18767818310271,26.027624207807865,27.298713158627216,4.080024360145614e-08,True
SD1,47.95365674812944,36.94695896866351,18.556824161040858,19.54026186897072,5.4247889085600506e-08,True
SDSD,67.81671173858874,52.25089046192621,26.243312403116718,27.634103347420236,5.424788908560109e-08,True
HR_Min,260.38645796930626,78.27947891446765,317.95045787518006,63.05639270464047,1.0670003090648724e-06,True
pNN100,15.327165313112783,18.366774975921892,3.5489940565017926,7.174774357422779,4.444831730258235e-06,True
SDNN,50.77155675841676,45.33219435914614,22.600736671996277,22.706783791268464,1.0283907039016766e-05,True
RR_Mean,125.34820493661125,62.66178906665365,158.60112818138705,25.99679155707075,0.00010814851140867377,True
SD2,52.77350060591744,53.013808752327705,25.82375628864002,25.840126738025646,0.00022570501960832165,True
SD1SD2,0.9898042906042601,0.20334872847086208,0.852210977757735,0.3441689673434523,0.00038054116356567633,True
HR_Max,1201.4848512194296,629.8558608753764,864.5949387596023,629.155112877226,0.0005038631236946278,True
RR_Max,272.7703125,167.50453647463803,202.225,77.81984679001731,0.0018827346221548852,True
Area,13875.83021042011,38961.071209808535,3028.9889995815743,7758.613239913248,0.030742493439520548,True
