file,total_windows,valid_windows,total_peaks,mean_hr_bpm,af_burden,mean_pRR3_25
132282-3-1in4-a_Export.xls,19,19,2057,649.578947368421,100.0,90.97065303668548
132283-4-1in4-a-s_Export.xls,20,20,1300,390.0,35.0,40.846029191517445
132383-2-1in10-a_Export.xls,19,19,1348,425.6842105263158,10.526315789473683,18.945093865466312
132384-3-1in10-s-a_Export.xls,20,20,1245,373.5,20.0,63.64392115027006
132385-4-1in10-s-a_Export.xls,21,21,1071,306.0,28.57142857142857,37.903183747550784
132386-5-1in10-a-s_Export.xls,19,19,1324,418.1052631578948,0.0,30.399736793132085
132387-6-1in10-a_Export.xls,18,18,1891,630.3333333333334,77.77777777777779,82.59830701234104
132388-7-1in10-s-one RR irregular_Export.xls,18,18,1052,350.66666666666663,0.0,10.055048865642636
132389-8-1in10-s_Export.xls,18,18,1756,585.3333333333334,66.66666666666666,84.6273133524168
132392-3-1in10-s-irregualr p RR_Export.xls,19,19,1359,429.1578947368421,42.10526315789473,55.268149058865816
132393-4-1in10-s-a_Export.xls,23,23,1403,366.0,0.0,41.81913188687605
